源表行号,任务名称,需求场景,PRD,自动创建子任务,关联项目,优先级,需求来源,需求状态,需求负责 PM,需求群,建群按钮,其他,推进版本（自动查询）,②版本开发计划-关联需求,项目汇总-项目关联需求（需求池中需求）,关联父任务,Epic,阶段,范围分级,验收标准,需求ID,依赖项,阻塞原因,来源类型补充,一期口径,是否MVP必需,负责人角色建议,事实来源,验收补充,风险与阻塞补充,本地来源文档,完善动作,本地MVP映射,AI执行判断,AI下一步动作,AI输出位置,AI验证方式,人工确认点
56,前置仓管理,后台管理前置仓库存和履约范围,来源：六维达康项目资料；需求编号：REQ-205,,六维达康水站项目（需求池完善副本）,P2,客户反馈,收集需求,,,建群,,,二期商城、健康与营销增强预留,六维达康水站项目（需求池完善副本）,,商城配送,二期,二期增强,可按仓库查询库存和配送范围,REQ-205,仓库规则、库存系统,,正式PRD,二期增强,否,后台,后端数据库,仅保留为后续范围；不得进入 30 天 MVP 主线，除非另开评审。,范围风险：后置能力不要误排进一期主线。,商城配送,标为二期，非 30 天 MVP,R36,后置预留,保留需求、字段和边界说明；不进入 30 天 MVP 主线，后续版本再拆分任务。,water-station/apps/miniprogram/；water-station/services/api/；water-station/docs/ops/,后续版本评审时再验收；当前只确认其没有被误排进 30 天 MVP。,需确认合作方接口、资质、结算口径、隐私合规和版本排期。
57,商品退换货,用户对商城商品发起退换货,来源：六维达康项目资料；需求编号：REQ-206,,六维达康水站项目（需求池完善副本）,P2,客户反馈,收集需求,,,建群,,,二期商城、健康与营销增强预留,六维达康水站项目（需求池完善副本）,,售后,二期,二期增强,退换货流程可闭环,REQ-206,售后规则,,正式PRD,二期增强,否,售后,飞书协作,仅保留为后续范围；不得进入 30 天 MVP 主线，除非另开评审。,范围风险：后置能力不要误排进一期主线。,商城售后,标为二期，非水站核心闭环,R36,后置预留,保留需求、字段和边界说明；不进入 30 天 MVP 主线，后续版本再拆分任务。,water-station/docs/requirements/；water-station/docs/planning/,后续版本评审时再验收；当前只确认其没有被误排进 30 天 MVP。,需人工确认业务口径、验收边界和是否进入本期。
58,随机卡券,平台给用户发放随机券或活动券,来源：六维达康项目资料；需求编号：REQ-207,,六维达康水站项目（需求池完善副本）,P2,客户反馈,收集需求,,,建群,,,二期商城、健康与营销增强预留,六维达康水站项目（需求池完善副本）,,营销,二期,二期增强,卡券可发放、核销、统计,REQ-207,营销规则,,正式PRD,二期增强,否,产品,飞书协作,仅保留为后续范围；不得进入 30 天 MVP 主线，除非另开评审。,范围风险：后置能力不要误排进一期主线。,随机卡券需求,标为二期，补防刷和每日限制,R36,后置预留,保留需求、字段和边界说明；不进入 30 天 MVP 主线，后续版本再拆分任务。,water-station/docs/requirements/；water-station/docs/planning/,后续版本评审时再验收；当前只确认其没有被误排进 30 天 MVP。,需人工确认业务口径、验收边界和是否进入本期。
59,广告公告基础增强,平台配置公告、广告位和活动入口,来源：六维达康项目资料；需求编号：REQ-208,,六维达康水站项目（需求池完善副本）,P2,客户反馈,收集需求,,,建群,,,二期商城、健康与营销增强预留,六维达康水站项目（需求池完善副本）,,营销,二期,二期增强,前端按配置展示广告公告,REQ-208,内容规则、广告位设计,,正式PRD,一期预留,否,产品,人工运营,一期只做公告/广告位字段，计费后置,无新增阻塞；按补充验收执行。,广告公告管理,一期只做公告/广告位字段，计费后置,R36,后置预留,保留需求、字段和边界说明；不进入 30 天 MVP 主线，后续版本再拆分任务。,water-station/docs/requirements/；water-station/docs/planning/,后续版本评审时再验收；当前只确认其没有被误排进 30 天 MVP。,需人工确认业务口径、验收边界和是否进入本期。
60,完整广告分账,对广告收益进行归因和分账,来源：六维达康项目资料；需求编号：REQ-209,,六维达康水站项目（需求池完善副本）,P2,客户反馈,收集需求,,,建群,,,二期商城、健康与营销增强预留,六维达康水站项目（需求池完善副本）,,广告分账,二期,二期增强,广告收益可统计和分账,REQ-209,广告收益规则、分账对象,,正式PRD,二期增强,否,支付财务,微信支付,仅保留为后续范围；不得进入 30 天 MVP 主线，除非另开评审。,范围风险：后置能力不要误排进一期主线。,广告分账,广告收益分账后置，需资质和规则,R36,后置预留,保留需求、字段和边界说明；不进入 30 天 MVP 主线，后续版本再拆分任务。,water-station/services/api/；water-station/docs/ops/；water-station/docs/requirements/,后续版本评审时再验收；当前只确认其没有被误排进 30 天 MVP。,需确认微信商户号、证书、回调域名、退款权限、分账规则、财务审核口径。
61,健康档案系统接入,用户授权健康档案，平台读取外部健康资料,来源：六维达康项目资料；需求编号：REQ-210,,六维达康水站项目（需求池完善副本）,P2,客户反馈,收集需求,,,建群,,,二期商城、健康与营销增强预留,六维达康水站项目（需求池完善副本）,,健康,二期,二期增强,授权后可获取基础健康档案,REQ-210,健康档案接口资料、授权方式,,正式PRD,二期增强,否,产品,飞书协作,仅保留为后续范围；不得进入 30 天 MVP 主线，除非另开评审。,范围风险：后置能力不要误排进一期主线。,健康档案接口,一期只预留授权/接口字段，涉及隐私合规,R36,后置预留,保留需求、字段和边界说明；不进入 30 天 MVP 主线，后续版本再拆分任务。,water-station/docs/requirements/；water-station/docs/planning/,后续版本评审时再验收；当前只确认其没有被误排进 30 天 MVP。,需确认合作方接口、资质、结算口径、隐私合规和版本排期。
62,健康标签和商品推荐,根据健康档案或用户行为推荐健康产品,来源：六维达康项目资料；需求编号：REQ-211,,六维达康水站项目（需求池完善副本）,P2,客户反馈,收集需求,,,建群,,,二期商城、健康与营销增强预留,六维达康水站项目（需求池完善副本）,,健康,二期,二期增强,用户可看到基础推荐内容,REQ-211,健康标签规则、推荐规则,,正式PRD,二期增强,否,产品,人工运营,仅保留为后续范围；不得进入 30 天 MVP 主线，除非另开评审。,范围风险：后置能力不要误排进一期主线。,健康推荐,不做 AI 猜测配送，推荐后置,R36,后置预留,保留需求、字段和边界说明；不进入 30 天 MVP 主线，后续版本再拆分任务。,water-station/docs/requirements/；water-station/docs/planning/,后续版本评审时再验收；当前只确认其没有被误排进 30 天 MVP。,需确认合作方接口、资质、结算口径、隐私合规和版本排期。
63,深度经营分析,按水站、设备、机主、用户、配送统计经营数据,来源：六维达康项目资料；需求编号：REQ-212,,六维达康水站项目（需求池完善副本）,P2,客户反馈,收集需求,,,建群,,,二期商城、健康与营销增强预留,六维达康水站项目（需求池完善副本）,,运营,二期,二期增强,可生成经营报表,REQ-212,订单、流水、设备数据,,正式PRD,二期增强,否,后台,后端数据库,仅保留为后续范围；不得进入 30 天 MVP 主线，除非另开评审。,范围风险：后置能力不要误排进一期主线。,经营看板,一期只做基础订单/设备状态,R36,后置预留,保留需求、字段和边界说明；不进入 30 天 MVP 主线，后续版本再拆分任务。,water-station/apps/admin/；water-station/services/api/；water-station/docs/admin/,后续版本评审时再验收；当前只确认其没有被误排进 30 天 MVP。,需人工确认业务口径、验收边界和是否进入本期。
64,远程参数同步,后台向设备同步价格、限额、冲洗、温控等参数,来源：六维达康项目资料；需求编号：REQ-213,,六维达康水站项目（需求池完善副本）,P2,客户反馈,收集需求,,,建群,,,二期商城、健康与营销增强预留,六维达康水站项目（需求池完善副本）,,设备接入,二期,二期增强,参数可下发并回执成功/失败,REQ-213,设备参数协议、回执,,设备技术方案,二期增强,否,设备,甲方设备,仅保留为后续范围；不得进入 30 天 MVP 主线，除非另开评审。,范围风险：后置能力不要误排进一期主线。,设备终端管理,高风险设备控制，协议和回执确认后做,R36,后置预留,保留需求、字段和边界说明；不进入 30 天 MVP 主线，后续版本再拆分任务。,water-station/services/iot/；water-station/services/api/；water-station/docs/iot/,后续版本评审时再验收；当前只确认其没有被误排进 30 天 MVP。,需确认设备厂协议、样机、命令集、ACK 语义、心跳/故障码、二维码/刷卡能力。
65,远程升级 OTA,后台触发固件升级并查看进度、失败和回滚,来源：六维达康项目资料；需求编号：REQ-214,,六维达康水站项目（需求池完善副本）,P2,客户反馈,收集需求,,,建群,,,二期商城、健康与营销增强预留,六维达康水站项目（需求池完善副本）,,设备接入,二期,二期增强,升级流程可控、失败可追踪,REQ-214,OTA 能力、升级包、回滚机制,,正式PRD,二期增强,否,设备,甲方设备,仅保留为后续范围；不得进入 30 天 MVP 主线，除非另开评审。,范围风险：后置能力不要误排进一期主线。,OTA 方案,高风险，需升级包、回滚、灰度,R36,后置预留,保留需求、字段和边界说明；不进入 30 天 MVP 主线，后续版本再拆分任务。,water-station/services/iot/；water-station/services/api/；water-station/docs/iot/,后续版本评审时再验收；当前只确认其没有被误排进 30 天 MVP。,需确认设备厂协议、样机、命令集、ACK 语义、心跳/故障码、二维码/刷卡能力。
66,屏幕内容推送,平台向设备屏幕推送公告、二维码、价格或广告,来源：六维达康项目资料；需求编号：REQ-215,,六维达康水站项目（需求池完善副本）,P2,客户反馈,收集需求,,,建群,,,二期商城、健康与营销增强预留,六维达康水站项目（需求池完善副本）,,设备接入,二期,二期增强,内容可下发并展示,REQ-215,屏幕协议、内容格式,,设备技术方案,二期增强,否,设备,甲方设备,仅保留为后续范围；不得进入 30 天 MVP 主线，除非另开评审。,范围风险：后置能力不要误排进一期主线。,设备屏幕/广告,一期最多字段预留，真实推送后置,R36,后置预留,保留需求、字段和边界说明；不进入 30 天 MVP 主线，后续版本再拆分任务。,water-station/services/iot/；water-station/services/api/；water-station/docs/iot/,后续版本评审时再验收；当前只确认其没有被误排进 30 天 MVP。,需确认设备厂协议、样机、命令集、ACK 语义、心跳/故障码、二维码/刷卡能力。
67,渠道端完整管理,渠道管理区域、下级机主、水站和收益,来源：六维达康项目资料；需求编号：REQ-301,,六维达康水站项目（需求池完善副本）,P2,客户反馈,收集需求,,,建群,,,三期渠道、异地用水与平台化扩展预留,六维达康水站项目（需求池完善副本）,,渠道,三期,三期扩展,渠道端可查看下级数据,REQ-301,渠道规则、组织层级,,正式PRD,三期扩展,否,产品,人工运营,仅保留为后续范围；不得进入 30 天 MVP 主线，除非另开评审。,待确认：基础渠道能力是否前置到一期；技术层级和实际激励层级口径冲突。,渠道方案,与“基础渠道前置”冲突，需单独确认,R36,后置预留,保留需求、字段和边界说明；不进入 30 天 MVP 主线，后续版本再拆分任务。,water-station/docs/requirements/；water-station/docs/planning/,后续版本评审时再验收；当前只确认其没有被误排进 30 天 MVP。,需确认合作方接口、资质、结算口径、隐私合规和版本排期。
68,多级渠道结算,支持平台、区域、渠道、机主等多级分润,来源：六维达康项目资料；需求编号：REQ-302,,六维达康水站项目（需求池完善副本）,P2,客户反馈,收集需求,,,建群,,,三期渠道、异地用水与平台化扩展预留,六维达康水站项目（需求池完善副本）,,渠道,三期,三期扩展,多级结算可试算和对账,REQ-302,多级分账规则、结算资质,,正式PRD,三期扩展,否,支付财务,微信支付,仅保留为后续范围；不得进入 30 天 MVP 主线，除非另开评审。,待确认：基础渠道能力是否前置到一期；技术层级和实际激励层级口径冲突。,渠道分账,技术可 3 级，实际激励不超过 2 级需确认,R36,后置预留,保留需求、字段和边界说明；不进入 30 天 MVP 主线，后续版本再拆分任务。,water-station/docs/requirements/；water-station/docs/planning/,后续版本评审时再验收；当前只确认其没有被误排进 30 天 MVP。,需确认微信商户号、证书、回调域名、退款权限、分账规则、财务审核口径。
69,加盟管理,支持加盟商入驻、审核和区域授权,来源：六维达康项目资料；需求编号：REQ-303,,六维达康水站项目（需求池完善副本）,P2,客户反馈,收集需求,,,建群,,,三期渠道、异地用水与平台化扩展预留,六维达康水站项目（需求池完善副本）,,渠道,三期,三期扩展,加盟流程可线上管理,REQ-303,加盟政策、合同规则,,正式PRD,三期扩展,否,商务,人工运营,仅保留为后续范围；不得进入 30 天 MVP 主线，除非另开评审。,范围风险：后置能力不要误排进一期主线。,渠道加盟,后置，不进一期,R36,后置预留,保留需求、字段和边界说明；不进入 30 天 MVP 主线，后续版本再拆分任务。,water-station/docs/requirements/；water-station/docs/planning/,后续版本评审时再验收；当前只确认其没有被误排进 30 天 MVP。,需确认合作方接口、资质、结算口径、隐私合规和版本排期。
70,异地用水,用户在不同水站使用同一权益或水卡,来源：六维达康项目资料；需求编号：REQ-304,,六维达康水站项目（需求池完善副本）,P2,客户反馈,收集需求,,,建群,,,三期渠道、异地用水与平台化扩展预留,六维达康水站项目（需求池完善副本）,,跨站用水,三期,三期扩展,跨站消费可扣减和结算,REQ-304,跨站结算、水卡规则,,正式PRD,三期扩展,否,产品,飞书协作,仅保留为后续范围；不得进入 30 天 MVP 主线，除非另开评审。,范围风险：后置能力不要误排进一期主线。,异地用水,一期只预留 station_id、价格快照和清算字段,R36,后置预留,保留需求、字段和边界说明；不进入 30 天 MVP 主线，后续版本再拆分任务。,water-station/docs/requirements/；water-station/docs/planning/,后续版本评审时再验收；当前只确认其没有被误排进 30 天 MVP。,需确认合作方接口、资质、结算口径、隐私合规和版本排期。
71,跨站收益清算,异地用水后在用户所属方和设备所属方之间清算,来源：六维达康项目资料；需求编号：REQ-305,,六维达康水站项目（需求池完善副本）,P2,客户反馈,收集需求,,,建群,,,三期渠道、异地用水与平台化扩展预留,六维达康水站项目（需求池完善副本）,,跨站结算,三期,三期扩展,跨站订单可生成清算明细,REQ-305,清算规则、分账规则,,正式PRD,三期扩展,否,支付财务,微信支付,仅保留为后续范围；不得进入 30 天 MVP 主线，除非另开评审。,范围风险：后置能力不要误排进一期主线。,跨站清算,后置，需清算规则,R36,后置预留,保留需求、字段和边界说明；不进入 30 天 MVP 主线，后续版本再拆分任务。,water-station/docs/requirements/；water-station/docs/planning/,后续版本评审时再验收；当前只确认其没有被误排进 30 天 MVP。,需确认微信商户号、证书、回调域名、退款权限、分账规则、财务审核口径。
72,母卡备用方案,支持更复杂的母卡/子卡或企业账户模式,来源：六维达康项目资料；需求编号：REQ-306,,六维达康水站项目（需求池完善副本）,P2,客户反馈,收集需求,,,建群,,,三期渠道、异地用水与平台化扩展预留,六维达康水站项目（需求池完善副本）,,水卡,三期,三期扩展,母子卡消费和授权可管理,REQ-306,企业账户规则,,正式PRD,三期扩展,否,产品,飞书协作,仅保留为后续范围；不得进入 30 天 MVP 主线，除非另开评审。,本地文档明确母卡不是一期主线，只保留为备选方案。,送水母卡,本地文档明确一期不做母卡，仅备选,R36,后置预留,保留需求、字段和边界说明；不进入 30 天 MVP 主线，后续版本再拆分任务。,water-station/services/api/；water-station/docs/ops/；water-station/docs/requirements/,后续版本评审时再验收；当前只确认其没有被误排进 30 天 MVP。,需确认微信商户号、证书、回调域名、退款权限、分账规则、财务审核口径。
73,完整广告投放与收益体系,面向渠道、设备屏幕、用户端广告做投放和收益分成,来源：六维达康项目资料；需求编号：REQ-307,,六维达康水站项目（需求池完善副本）,P2,客户反馈,收集需求,,,建群,,,三期渠道、异地用水与平台化扩展预留,六维达康水站项目（需求池完善副本）,,广告,三期,三期扩展,广告可投放、统计、分账,REQ-307,广告主、投放规则、收益规则,,正式PRD,三期扩展,否,商务,人工运营,仅保留为后续范围；不得进入 30 天 MVP 主线，除非另开评审。,范围风险：后置能力不要误排进一期主线。,广告投放,后置，需广告资质、投放和收益规则,R36,后置预留,保留需求、字段和边界说明；不进入 30 天 MVP 主线，后续版本再拆分任务。,water-station/docs/requirements/；water-station/docs/planning/,后续版本评审时再验收；当前只确认其没有被误排进 30 天 MVP。,需确认合作方接口、资质、结算口径、隐私合规和版本排期。
74,多项目/多品牌复制,将当前能力复用到其他项目,来源：六维达康项目资料；需求编号：REQ-308,,六维达康水站项目（需求池完善副本）,P2,客户反馈,收集需求,,,建群,,,三期渠道、异地用水与平台化扩展预留,六维达康水站项目（需求池完善副本）,,平台化,三期,三期扩展,新项目可复用表结构和组件,REQ-308,多租户/多项目架构,,正式PRD,三期扩展,否,产品,人工运营,仅保留为后续范围；不得进入 30 天 MVP 主线，除非另开评审。,范围风险：后置能力不要误排进一期主线。,平台化,后置，当前先单项目闭环,R36,后置预留,保留需求、字段和边界说明；不进入 30 天 MVP 主线，后续版本再拆分任务。,water-station/docs/requirements/；water-station/docs/planning/,后续版本评审时再验收；当前只确认其没有被误排进 30 天 MVP。,需确认合作方接口、资质、结算口径、隐私合规和版本排期。
75,微信小程序统一入口与多身份切换,一个微信小程序统一入口，普通用户默认进入用户首页；有机主、渠道、配送身份的人在身份页面按权限切换端口。公司后台独立为 PC 管理端。,来源：05_设备接口与技术方案/07-多端流程框架与模拟计划.md；04_产品端口与业务方案/03-端口体系与权限边界.md；需求编号：REQ-051,,六维达康水站项目（需求池完善副本）,P0,业务创新,方案中,,,建群,系统端口定义：小程序承载用户/机主/渠道/配送身份入口；公司后台为 PC Web；后端服务为事实来源。,,微信小程序统一入口与多身份上下文,六维达康水站项目（需求池完善副本）,,用户端,一期,一期必需,普通用户只看到用户端；多身份用户能在身份页切换用户端、机主端、渠道端、配送端；无权限账号看不到对应端口；每次操作携带当前身份上下文并写入审计日志。,REQ-051,依赖 REQ-003 登录、REQ-024 权限日志、REQ-018 用户管理。,,设备技术方案,30天MVP,是,产品,后端数据库,验收：默认用户首页；身份页列出已授权端口；端口切换后菜单、数据、接口权限按当前身份隔离；操作日志记录 accountId、role、portal、action、time。,风险：若前端只做多个入口不做身份上下文，后端越权风险高；需统一 token/session 中的当前身份与资源范围。,05_设备接口与技术方案/07-多端流程框架与模拟计划.md；05_设备接口与技术方案/08-多端流程框架与模拟计划-HTML版.html；04_产品端口与业务方案/03-端口体系与权限边界.md,补成独立需求，避免被分散在登录、权限、机主端、配送端、渠道端中漏掉。,新增：T1；关联 R13、R23、R32,可直接执行,按 新增：T1；关联 R13、R23、R32 拆成本地任务；优先产出 mock/模拟闭环所需的文档、接口、页面、模型、测试或验收证据。,water-station/apps/miniprogram/；water-station/docs/requirements/,用本地文档、接口/页面行为、测试或手工验收记录证明；核心链路需留下订单-命令-ACK-审计日志证据。,无新增人工确认；按 30 天 MVP mock/模拟闭环执行，真实外部能力不进入本轮。
76,用户端功能开发范围,用户端面向普通用户，承担扫码取水、购卡充值、水卡账户、消费记录、地址、家庭成员授权、送水订单、商城与健康入口。,来源：04_产品端口与业务方案/04-用户端功能方案.md；03_需求规格与业务规则/27-小程序五端框架说明.html；需求编号：REQ-052,,六维达康水站项目（需求池完善副本）,P0,业务创新,方案中,,,建群,用户端不能看机主收益、其他用户订单、后台财务或渠道分账。,,用户端功能范围补齐：首页、扫码、水卡、送水、健康入口,六维达康水站项目（需求池完善副本）,,用户端,一期,一期必需,用户能登录、查看附近水站、扫码识别设备、查看设备状态、选择水种水量、查看订单结果、水卡余额/记录、地址、家庭成员授权、送水入口、商城/健康入口。,REQ-052,依赖 REQ-003、REQ-004、REQ-006、REQ-008、REQ-009、REQ-011、REQ-019、REQ-022。,,正式PRD,30天MVP,是,产品,后端数据库,验收：首页有扫码取水、附近水站、水卡余额、充值、送水、商城/健康入口；扫码链路能到设备确认和订单结果；个人中心能进入水卡、订单、消费记录、地址和家庭成员。,风险：商城、健康、真实支付不要挤进 30 天 MVP 主链路，先做入口和字段预留。,04_产品端口与业务方案/04-用户端功能方案.md；03_需求规格与业务规则/27-小程序五端框架说明.html,补用户端完整功能清单和一期/骨架边界。,新增：T2；关联 R14-R20,可直接执行,按 新增：T2；关联 R14-R20 拆成本地任务；优先产出 mock/模拟闭环所需的文档、接口、页面、模型、测试或验收证据。,water-station/apps/miniprogram/；water-station/docs/requirements/,用本地文档、接口/页面行为、测试或手工验收记录证明；核心链路需留下订单-命令-ACK-审计日志证据。,无新增人工确认；按 30 天 MVP mock/模拟闭环执行，真实外部能力不进入本轮。
77,机主端功能开发范围,机主端面向设备机主/水站经营者，只看自己名下设备、经营数据、流水、收益、报修、配件和告警。,来源：04_产品端口与业务方案/05-机主端功能方案.md；04_产品端口与业务方案/03-端口体系与权限边界.md；需求编号：REQ-053,,六维达康水站项目（需求池完善副本）,P1,业务创新,方案中,,,建群,机主端不能改全局价格、分账配置、后台角色，也不能看其他用户隐私。,,机主端只读骨架：经营看板、设备状态、流水与报修入口,六维达康水站项目（需求池完善副本）,,机主端,一期,一期重要,机主能登录并看到自己设备；能查看经营看板、设备在线/故障/滤芯/TDS/最后连接时间、设备流水、收益统计、报修和配件进度；不能串到其他机主数据。,REQ-053,依赖 REQ-012、REQ-013、REQ-014、REQ-020、REQ-023、REQ-046。,,正式PRD,骨架方案,骨架,后台,后端数据库,验收：机主身份页可进入机主端；机主只读自己设备和收益占位；报修/配件可建单或占位；高风险远程控制默认不开放。,风险：真实收益、分账和远程控制依赖支付、分账、设备协议；30 天 MVP 只做只读骨架和占位。,04_产品端口与业务方案/05-机主端功能方案.md；05_设备接口与技术方案/07-多端流程框架与模拟计划.md,补机主端完整功能清单，明确当前可先做只读骨架。,新增：T3；关联 R10、R23、R26,可直接执行,按 新增：T3；关联 R10、R23、R26 拆成本地任务；优先产出 mock/模拟闭环所需的文档、接口、页面、模型、测试或验收证据。,water-station/docs/requirements/；water-station/docs/planning/,用本地文档、接口/页面行为、测试或手工验收记录证明；核心链路需留下订单-命令-ACK-审计日志证据。,无新增人工确认；按 30 天 MVP mock/模拟闭环执行，真实外部能力不进入本轮。
78,配送端功能开发范围,配送端面向配送员，承担待接单、接单、开始配送、位置上报、三张照片签收、异常上报、配送记录和用户申诉衔接。,来源：04_产品端口与业务方案/07-配送端功能方案.md；03_需求规格与业务规则/01-需求-无卡远程消费.md；需求编号：REQ-054,,六维达康水站项目（需求池完善副本）,P0,客户反馈,方案中,,,建群,配送端不开放设备控制和平台财务。,,配送端履约、准入、通知、签收申诉与多水种骨架,六维达康水站项目（需求池完善副本）,,配送端,一期,一期重要,配送员能查看待接单、接单、查看详情、开始配送、上传门牌号/水量/环境三张照片、点击已送达、上报异常；系统自动确认送达，用户可在 24 小时内申诉，后台可查看记录。,REQ-054,依赖 REQ-011、REQ-015、REQ-016、REQ-017、REQ-047。,,正式PRD,骨架方案,骨架,配送,后端数据库,验收：配送员只能看自己的任务；三张照片缺一不可；照片带时间、GPS、订单和配送员信息；配送员不能扣水卡、改价格、改设备状态。,风险：真实配送履约涉及图片存储、定位、申诉 SLA 和客服处理；MVP 可先做页面/模型/接口骨架。,04_产品端口与业务方案/07-配送端功能方案.md；03_需求规格与业务规则/01-需求-无卡远程消费.md；03_需求规格与业务规则/23-送水方案与主动配送设计.md,补配送端完整功能清单和权限边界。,新增：T4；关联 R20-R22,可直接执行,按 新增：T4；关联 R20-R22 拆成本地任务；优先产出 mock/模拟闭环所需的文档、接口、页面、模型、测试或验收证据。,water-station/apps/miniprogram/；water-station/services/api/；water-station/docs/ops/,用本地文档、接口/页面行为、测试或手工验收记录证明；核心链路需留下订单-命令-ACK-审计日志证据。,无新增人工确认；按 30 天 MVP mock/模拟闭环执行，真实外部能力不进入本轮。
79,公司后台与系统管理端开发范围,公司后台是 PC Web 管理中枢，面向总部、运营、财务、客服、运维，统一管理用户、水站、设备、水卡、订单、财务、分账、配送、报修、广告公告、权限和日志。,来源：04_产品端口与业务方案/08-公司后台功能方案.md；04_产品端口与业务方案/01-总框架结构总览.md；需求编号：REQ-055,,六维达康水站项目（需求池完善副本）,P0,业务创新,方案中,,,建群,后台核心角色：超级管理员、运营、财务、客服、运维。,,公司后台/系统管理端、配置中心、合规审计与事件白名单,六维达康水站项目（需求池完善副本）,,后台,一期,一期必需,后台能登录；按角色控制权限；能管理用户、水站、设备、水卡套餐、订单、流水、报修工单、公告广告、基础配置；关键操作有日志；MVP 至少能看订单、设备状态、命令、ACK 和审计日志。,REQ-055,依赖 REQ-018、REQ-019、REQ-020、REQ-021、REQ-022、REQ-023、REQ-024、REQ-050。,,正式PRD,30天MVP,是,后台,后端数据库,验收：PC 后台不是小程序普通入口；最小看板显示订单、设备、命令、ACK、审计日志；商业一期再扩展用户、财务、分账、报修、广告和权限角色。,风险：不要把后端服务、公司后台、设备端混成一个端；真实财务/退款/分账和远程控制要等支付与设备协议确认。,04_产品端口与业务方案/08-公司后台功能方案.md；04_产品端口与业务方案/01-总框架结构总览.md；water-station/docs/admin/phase-1-dashboard.md,补系统端定义：公司后台是人用 PC 管理端；后端服务是 API/数据库事实来源；设备端是硬件通信层。,新增：T5；关联 R10、R23、R32、R35,可直接执行,按 新增：T5；关联 R10、R23、R32、R35 拆成本地任务；优先产出 mock/模拟闭环所需的文档、接口、页面、模型、测试或验收证据。,water-station/apps/admin/；water-station/services/api/；water-station/docs/admin/,用本地文档、接口/页面行为、测试或手工验收记录证明；核心链路需留下订单-命令-ACK-审计日志证据。,无新增人工确认；按 30 天 MVP mock/模拟闭环执行，真实外部能力不进入本轮。
80,渠道端基础预留与后续开发范围,渠道端面向区域渠道/加盟体系，用于查看区域数据、下级机主、区域设备、用户增长、渠道收益和归属申诉；一期先做归属字段和入口权限预留。,来源：04_产品端口与业务方案/06-渠道端功能方案.md；03_需求规格与业务规则/10-需求-渠道与推送定义.md；需求编号：REQ-056,,六维达康水站项目（需求池完善副本）,P2,业务创新,方案中,,,建群,渠道端不能看其他区域数据、公司全局财务、用户健康档案详情和后台系统配置。,,渠道端一期预留、推送码归属、商城归因与分润边界,六维达康水站项目（需求池完善副本）,,渠道,后续预留,后续预留,一期预留用户/水站/设备/机主归属渠道、推送码、区域编号；渠道身份未授权时不显示渠道端；后续完整渠道端再做区域看板、收益、结算、入网和申诉。,REQ-056,依赖 REQ-301、REQ-302、REQ-303；基础字段影响 REQ-019、REQ-020、REQ-022。,,正式PRD,一期预留,骨架,商务,人工运营,验收：一期数据模型保留 channelId/regionCode/promoCode 等字段；身份页按授权隐藏/显示渠道端；完整渠道端不进入 30 天 MVP。,风险：文档里有一期基础版和三期完整管理的口径差异，需会议确认渠道端是否前置；分润结算需支付财务规则。,04_产品端口与业务方案/06-渠道端功能方案.md；03_需求规格与业务规则/10-需求-渠道与推送定义.md；05_设备接口与技术方案/11-共享水站及设备管理系统需求整理.md,补渠道端范围，避免只看到 REQ-301 三期完整管理而漏掉一期字段预留。,新增：T6；关联 R36、REQ-301~REQ-303,后置预留,保留需求、字段和边界说明；不进入 30 天 MVP 主线，后续版本再拆分任务。,water-station/docs/requirements/；water-station/docs/planning/,后续版本评审时再验收；当前只确认其没有被误排进 30 天 MVP。,需确认合作方接口、资质、结算口径、隐私合规和版本排期。
81,家庭成员自愿填报与奖励机制,用户在个人中心自愿完善家庭成员信息，系统通过水券、积分或健康权益奖励，作为用水预测、健康推荐和主动配送的基础数据。,来源：03_需求规格与业务规则/05-需求-家庭成员信息填报.md；06_一期开发执行计划/04-执行-用户端开发.md；需求编号：REQ-057,,六维达康水站项目（需求池完善副本）,P1,客户反馈,方案中,,,建群,一期只做自愿表单和奖励骨架，AI 对话和 CRM 自动填充后置。,,用户端功能范围补齐：首页、扫码、水卡、送水、健康入口,六维达康水站项目（需求池完善副本）,,健康,一期,一期重要,用户能添加、编辑、删除家庭成员；首次填报前展示隐私协议；字段可选不强制；提交后发放奖励；用户可一键删除家庭信息；家庭信息加密存储。,REQ-057,依赖 REQ-003 登录、REQ-009 授权、REQ-210 健康档案接口、REQ-066 合规日志。,,正式PRD,骨架方案,骨架,产品,后端数据库,验收补充：家庭信息页、添加成员页、奖励中心页可进入；奖励发放记录可追溯；不得诱导用户填写他人敏感信息。,隐私合规风险高；健康状况建议选填；公司成员信息二期再做；奖励价值和数据保留期限待甲方确认。,03_需求规格与业务规则/05-需求-家庭成员信息填报.md；06_一期开发执行计划/04-执行-用户端开发.md,补独立需求，避免家庭信息只被归入健康档案或一卡多人授权而漏开发页面、奖励和隐私删除。,新增：L1；关联 R17、R19、R20,可直接执行,按 新增：L1；关联 R17、R19、R20 拆成本地任务；优先产出 mock/模拟闭环所需的文档、接口、页面、模型、测试或验收证据。,water-station/docs/requirements/；water-station/docs/planning/,用本地文档、接口/页面行为、测试或手工验收记录证明；核心链路需留下订单-命令-ACK-审计日志证据。,无新增人工确认；按 30 天 MVP mock/模拟闭环执行，真实外部能力不进入本轮。
